Frame_Number,Time,TouchLeft,TouchRight,Box_FencerID1,Box_FencerID2,SkeletonID1,SkeletonID2
224,1.8685333333333334,0,0,"1164,798,1404,1349","685,829,1054,1392","1273,851;1247,910;1214,985;1158,1023;1260,1055;1256,1181;1252,1298;1346,910;1372,1009;1363,1093;1330,1057;1319,1179;1303,1299","875,900;813,965;731,1031;702,1071;823,1143;876,1239;892,1352;925,952;927,1025;903,1015;875,1134;806,1244;779,1340"
225,1.876875,0,0,"1161,798,1401,1350","667,832,1028,1392","1270,851;1245,910;1212,985;1155,1023;1260,1055;1255,1181;1254,1299;1345,909;1372,1009;1365,1094;1330,1057;1319,1179;1304,1299","861,898;805,959;729,1024;693,1062;816,1135;860,1237;885,1354;911,947;915,1018;877,1011;867,1126;797,1238;786,1342"
226,1.8852166666666668,0,0,"1160,797,1399,1350","653,833,1006,1389","1268,850;1244,910;1213,986;1153,1021;1259,1055;1252,1180;1252,1299;1344,909;1374,1009;1364,1093;1331,1058;1320,1180;1307,1300","847,899;790,961;717,1031;678,1067;803,1139;849,1241;879,1356;901,950;907,1028;862,1021;857,1130;783,1239;776,1344"
227,1.8935583333333335,0,0,"1155,796,1396,1352","634,833,982,1390","1266,849;1243,910;1209,986;1148,1021;1260,1057;1252,1181;1250,1301;1343,909;1373,1010;1363,1094;1331,1060;1317,1181;1301,1302","838,898;782,958;711,1030;658,1054;800,1136;820,1242;850,1366;893,946;898,1017;824,1007;853,1126;783,1240;800,1351"
228,1.9019,0,0,"1150,799,1392,1352","628,831,970,1390","1265,856;1245,916;1213,993;1142,1019;1265,1063;1245,1182;1240,1301;1339,911;1367,1001;1354,1083;1334,1064;1323,1189;1310,1304","820,902;750,961;690,1022;643,1057;774,1139;822,1241;878,1346;895,963;911,1035;848,1011;853,1134;754,1241;783,1337"
229,1.9102416666666666,0,0,"1150,798,1392,1351","626,834,962,1391","1264,851;1243,912;1205,987;1153,1018;1262,1061;1250,1184;1243,1306;1339,910;1372,1011;1364,1086;1329,1062;1319,1187;1309,1306","808,909;747,969;703,1033;650,1051;778,1131;806,1229;867,1354;867,958;884,1028;819,1024;842,1122;760,1236;806,1344"
230,1.9185833333333333,0,0,"1142,798,1386,1352","623,835,953,1392","1260,851;1240,912;1202,988;1148,1017;1260,1059;1246,1180;1238,1304;1337,909;1371,1010;1364,1086;1328,1060;1322,1182;1315,1304","808,911;736,965;689,1034;643,1059;762,1138;798,1243;860,1359;875,965;892,1039;821,1022;837,1131;746,1241;791,1346"
231,1.926925,0,0,"1139,801,1386,1353","624,835,948,1391","1258,850;1237,911;1199,988;1144,1017;1258,1059;1245,1179;1239,1304;1336,908;1371,1010;1365,1086;1327,1060;1320,1182;1312,1304","793,909;724,963;683,1030;638,1054;751,1135;791,1244;866,1356;859,964;879,1034;812,1018;827,1129;734,1245;791,1346"
232,1.9352666666666667,0,0,"1136,798,1388,1353","625,834,944,1390","1258,853;1238,916;1199,989;1145,1022;1259,1064;1240,1178;1232,1302;1333,910;1368,1004;1356,1080;1326,1062;1320,1186;1310,1307","779,909;722,962;688,1039;640,1062;742,1130;773,1240;859,1352;843,964;867,1041;795,1049;817,1125;735,1247;799,1346"
233,1.9436083333333334,0,0,"1133,798,1386,1353","621,835,936,1389","1254,853;1236,916;1196,990;1141,1021;1257,1064;1239,1178;1234,1303;1331,910;1367,1004;1353,1082;1326,1062;1319,1186;1310,1308","786,905;719,960;688,1036;634,1051;739,1124;767,1237;841,1352;843,960;858,1041;783,1054;811,1122;735,1243;793,1349"
234,1.95195,0,0,"1128,795,1386,1353","616,834,929,1391","1245,852;1228,915;1191,988;1123,1012;1254,1062;1241,1176;1242,1300;1327,911;1366,1008;1360,1083;1327,1064;1313,1180;1299,1301","774,905;708,958;681,1029;627,1044;732,1121;758,1235;833,1349;834,959;853,1037;790,1049;805,1119;731,1242;787,1347"
